source,target
1192095277018177538,1189485047998492673
1192095277018177538,1196715742860853253
1192095277018177538,1193013095200768000
1192095277018177538,1185893638666100738
1192095277018177538,1193741234768138242
1192095277018177538,1189297944287203329
1192095277018177538,1184023282896527360
1192095277018177538,1185319516915585029
1196715742860853253,1193013095200768000
1196715742860853253,1185893638666100738
1196715742860853253,1193741234768138242
1196715742860853253,1189297944287203329
1196715742860853253,1184023282896527360
1196715742860853253,1185678188623679489
1196715742860853253,1194686979008606208
1196715742860853253,1188848579118620677
1196715742860853253,1194090513101656069
1196715742860853253,1188800427996913665
1196715742860853253,1185228315990417408
1196715742860853253,1193272046513541121
1196715742860853253,1192208178898976770
1196715742860853253,1179584001650167809
1196715742860853253,1196859315916812288
1196715742860853253,1196531481163767809
1196715742860853253,1188510802304782337
1196715742860853253,1194231129424969728
1196715742860853253,1184382370989916161
1196715742860853253,1187539647271985153
1196715742860853253,1184925248157696000
1196715742860853253,1200045319293153283
1196715742860853253,1181203926823133186
1196715742860853253,1188793798756913152
1196715742860853253,1184303626325381122
1196715742860853253,1181569926592524288
1196715742860853253,1182089080739389440
1196715742860853253,1182143166289457153
1193013095200768000,1185893638666100738
1185893638666100738,1190610796268703744
1185893638666100738,1188118115944525824
1185893638666100738,1198863203175784448
1185893638666100738,1185949231183519746
1185893638666100738,1183174329066033152
1193741234768138242,1189297944287203329
1193741234768138242,1184023282896527360
1189297944287203329,1184023282896527360
1184023282896527360,1186894281740640256
1188025824479502336,1181348386840006657
1181348386840006657,1193392337189163009
1181348386840006657,1200534335083941889
1181348386840006657,1183339651857309696
1182253171206430721,1199157339502338050
1182253171206430721,1185201782630150145
1182253171206430721,1186882459943817216
1182253171206430721,1191754334209314816
1182253171206430721,1186472904361271296
1182253171206430721,1199594520205307906
1182253171206430721,1179958126130253824
1182253171206430721,1195680848701321216
1182253171206430721,1184269003134365696
1182253171206430721,1189890280964575234
1182253171206430721,1179306005064228865
1182253171206430721,1183313083520995328
1182253171206430721,1192457241686757376
1182253171206430721,1190610796268703744
1182253171206430721,1183340831077490688
1182253171206430721,1193394193412087808
1182253171206430721,1194178927142621184
1182253171206430721,1184003501002764288
1182253171206430721,1193750957160648705
1182253171206430721,1187591793455484928
1182253171206430721,1189662111716315139
1182253171206430721,1182032038234411009
1182253171206430721,1196949759866466304
1182253171206430721,1189353233598300160
1182253171206430721,1185152971077758978
1182253171206430721,1196388293556002817
1182253171206430721,1182110998078976000
1182253171206430721,1189991170467860480
1182253171206430721,1190279960885248001
1182253171206430721,1184040390195896320
1182253171206430721,1189443135761457152
1182253171206430721,1182813072144007168
1182253171206430721,1197875444898553857
1182253171206430721,1183025991783976962
1182253171206430721,1192372452996898816
1182253171206430721,1197886829242060803
1182253171206430721,1195772011911380992
1182253171206430721,1182632251546169344
1182253171206430721,1185558906933776384
1182253171206430721,1179037069869404161
1182253171206430721,1195167113557807109
1182253171206430721,1191652995634622465
1182253171206430721,1184839096075608070
1182253171206430721,1194787121606737920
1182253171206430721,1191808313123467264
1182253171206430721,1189948227442937856
1182253171206430721,1198844633175879680
1182253171206430721,1181638327281340417
1182253171206430721,1181631422110392320
1182253171206430721,1187432213924724737
1182253171206430721,1188954192704094210
1182253171206430721,1189901083352559622
1182253171206430721,1194996751180189698
1182253171206430721,1196188648900685824
1182253171206430721,1190080251944042496
1182253171206430721,1183717736242995202
1182253171206430721,1187745644942901249
1182253171206430721,1189893262531674113
1182253171206430721,1181278604094631942
1182253171206430721,1195408438324604933
1199157339502338050,1185201782630150145
1199157339502338050,1186882459943817216
1199157339502338050,1191754334209314816
1199157339502338050,1186472904361271296
1199157339502338050,1199594520205307906
1199157339502338050,1179958126130253824
1199157339502338050,1195680848701321216
1199157339502338050,1184269003134365696
1199157339502338050,1189890280964575234
1199157339502338050,1179306005064228865
1199157339502338050,1183313083520995328
1199157339502338050,1192457241686757376
1199157339502338050,1190610796268703744
